Z2,rho
0.001,301.67100724238816
0.0013061224489795918,259.27068499726397
0.0016122448979591837,222.82979300340648
0.0019183673469387755,191.51072420881272
0.0022244897959183673,164.59359851590062
0.0025306122448979593,141.45971607770065
0.002836734693877551,121.5773362586184
0.0031428571428571426,104.48945538404921
0.0034489795918367346,89.80330234600976
0.0037551020408163266,77.18131061749172
0.004061224489795918,66.33335916402889
0.00436734693877551,57.01010390703118
0.004673469387755102,48.99724646016386
0.004979591836734694,42.110608403608836
0.005285714285714285,36.191897876625326
0.005591836734693877,31.10507118201177
0.005897959183673469,26.73320577263506
0.006204081632653061,22.97581274449367
0.006510204081632653,19.746527062998194
0.006816326530612244,16.97112243148695
0.0071224489795918364,14.585805173012949
0.0074285714285714285,12.535747909659703
0.00773469387755102,10.773829335475531
0.00804081632653061,9.259551116252792
0.008346938775510203,7.958107020702491
0.008653061224489795,6.839582886668445
0.008959183673469387,5.878269033315719
0.009265306122448979,5.052069314839424
0.009571428571428571,4.341993232580114
0.009877551020408163,3.7317194315594473
0.010183673469387755,3.2072205482465415
0.010489795918367347,2.7564407865454967
0.01079591836734694,2.369018810971868
0.011102040816326531,2.0360495876176983
0.011408163265306123,1.7498796987338177
0.011714285714285715,1.5039314261611747
0.012020408163265307,1.2925515601054123
0.012326530612244896,1.1108814580698125
0.012632653061224488,0.9547453672042826
0.01293877551020408,0.8205544431193085
0.013244897959183672,0.705224259002634
0.013551020408163264,0.6061039089559854
0.013857142857142856,0.5209150759664286
0.014163265306122448,0.44769966396770994
0.01446938775510204,0.3847747902956024
0.014775510204081632,0.3306941040226087
0.015081632653061224,0.28421454105998323
0.015387755102040816,0.24426775188109892
0.01569387755102041,0.20993554512206855
